FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial
1.0,6104.959411764706,LEO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B0003
2.0,525.0,LEO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B0005
3.0,677.0,ISS,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B0007
4.0,500.0,PO,VAFB SLC 4E,1.0,0.0,0.0,0.0,,1.0,0.0,B1003
5.0,3170.0,GTO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B1004
6.0,3325.0,GTO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B1005
7.0,2296.0,ISS,CCAFS SLC 40,1.0,0.0,0.0,1.0,,1.0,0.0,B1006
8.0,1316.0,LEO,CCAFS SLC 40,1.0,0.0,0.0,1.0,,1.0,0.0,B1007
9.0,4535.0,GTO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B1008
10.0,4428.0,GTO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B1011
11.0,2216.0,ISS,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B1010
12.0,2395.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb761634e7cb,1.0,0.0,B1012
13.0,570.0,ES-L1,CCAFS SLC 40,1.0,1.0,0.0,1.0,,1.0,0.0,B1013
14.0,1898.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb761634e7cb,1.0,0.0,B1015
15.0,4707.0,GTO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,1.0,0.0,B1016
16.0,2477.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1018
17.0,2034.0,LEO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,1.0,0.0,B1019
18.0,553.0,PO,VAFB SLC 4E,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,1.0,0.0,B1017
19.0,5271.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,1.0,0.0,B1020
20.0,3136.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021
21.0,4696.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1022
22.0,3100.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1023
23.0,2257.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,2.0,1.0,B1025
24.0,4600.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,2.0,0.0,B1026
25.0,5500.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,3.0,0.0,B1028
26.0,9600.0,PO,VAFB SLC 4E,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1029
27.0,2490.0,ISS,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,3.0,1.0,B1031
28.0,5600.0,GTO,KSC LC 39A,1.0,0.0,0.0,0.0,,3.0,0.0,B1030
29.0,5300.0,GTO,KSC LC 39A,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,2.0,1.0,B1021
30.0,6104.959411764706,LEO,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,3.0,1.0,B1032
31.0,6070.0,GTO,KSC LC 39A,1.0,0.0,0.0,0.0,,3.0,0.0,B1034
32.0,2708.0,ISS,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035
33.0,3669.0,GTO,KSC LC 39A,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1029
34.0,9600.0,PO,VAFB SLC 4E,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1036
35.0,6761.0,GTO,KSC LC 39A,1.0,0.0,0.0,0.0,,3.0,0.0,B1037
36.0,2910.0,ISS,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,4.0,1.0,B1039
37.0,475.0,SSO,VAFB SLC 4E,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1038
38.0,4990.0,LEO,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,4.0,1.0,B1040
39.0,9600.0,PO,VAFB SLC 4E,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,4.0,1.0,B1041
40.0,5200.0,GTO,KSC LC 39A,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1031
41.0,3700.0,GTO,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,4.0,0.0,B1042
42.0,2205.0,ISS,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035
43.0,9600.0,PO,VAFB SLC 4E,2.0,1.0,1.0,0.0,,3.0,1.0,B1036
44.0,6104.959411764706,LEO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,4.0,1.0,B1043
45.0,4230.0,GTO,CCAFS SLC 40,2.0,1.0,1.0,1.0,,3.0,1.0,B1032
46.0,6092.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,,4.0,0.0,B1044
47.0,9600.0,PO,VAFB SLC 4E,2.0,1.0,1.0,1.0,,4.0,1.0,B1041
48.0,2760.0,ISS,CCAFS SLC 40,2.0,1.0,1.0,1.0,,4.0,1.0,B1039
49.0,350.0,HEO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,4.0,1.0,B1045
50.0,3750.0,GTO,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046
51.0,5383.85,GTO,CCAFS SLC 40,2.0,0.0,1.0,0.0,,4.0,1.0,B1040
52.0,2410.0,ISS,CCAFS SLC 40,2.0,0.0,1.0,0.0,,4.0,1.0,B1045
53.0,7076.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047
54.0,9600.0,PO,VAFB SLC 4E,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,4.0,B1048
55.0,5800.0,GTO,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046
56.0,7060.0,GTO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1049
57.0,2800.0,SSO,VAFB SLC 4E,2.0,1.0,1.0,1.0,5e9e3032383ecb554034e7c9,5.0,4.0,B1048
58.0,3000.0,GTO,KSC LC 39A,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047
59.0,4000.0,SSO,VAFB SLC 4E,3.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,3.0,B1046
60.0,2573.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb267a34e7c7,5.0,0.0,B1050
61.0,4400.0,MEO,CCAFS SLC 40,1.0,0.0,0.0,0.0,,5.0,0.0,B1054
62.0,9600.0,PO,VAFB SLC 4E,2.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,5.0,B1049
63.0,12259.0,ISS,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
64.0,2482.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056
65.0,13620.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1049
66.0,1425.0,SSO,VAFB SLC 4E,2.0,1.0,1.0,1.0,5e9e3032383ecb554034e7c9,5.0,5.0,B1051
67.0,2227.7,ISS,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,3.0,B1056
68.0,6500.0,GTO,CCAFS SLC 40,3.0,0.0,1.0,0.0,,5.0,2.0,B1047
69.0,15600.0,VLEO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048
70.0,5000.0,ISS,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1059
71.0,6800.0,GTO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056
72.0,15400.0,VLEO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1049
73.0,6104.959411764706,SO,KSC LC 39A,4.0,0.0,1.0,0.0,,5.0,3.0,B1046
74.0,15600.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
75.0,15400.0,VLEO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056
76.0,1977.0,ISS,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,3.0,B1059
77.0,15600.0,VLEO,KSC LC 39A,5.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048
78.0,15400.0,VLEO,KSC LC 39A,4.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
79.0,9525.0,ISS,KSC LC 39A,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1058
80.0,15400.0,VLEO,CCAFS SLC 40,5.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,5.0,B1049
81.0,15400.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1059
82.0,3880.0,MEO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1060
83.0,6104.959411764706,GEO,CCAFS SLC 40,2.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1058
84.0,15400.0,VLEO,CCAFS SLC 40,6.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1049
85.0,1600.0,SSO,CCAFS SLC 40,4.0,1.0,1.0,1.0,5e9e3032383ecb267a34e7c7,5.0,3.0,B1059
86.0,15400.0,VLEO,KSC LC 39A,2.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1060
87.0,15400.0,VLEO,KSC LC 39A,3.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1058
88.0,15400.0,VLEO,KSC LC 39A,6.0,1.0,1.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1051
89.0,15400.0,VLEO,CCAFS SLC 40,3.0,1.0,1.0,1.0,5e9e3033383ecbb9e534e7cc,5.0,2.0,B1060
90.0,3681.0,MEO,CCAFS SLC 40,1.0,1.0,0.0,1.0,5e9e3032383ecb6bb234e7ca,5.0,0.0,B1062
